artist_name,title,year,danceability,duration,energy,key,loudness,song_hotttnesss,tempo,time_signature
Casual,I Didn't Mean To,0,0.0,218.93179,0.0,1,-11.197,0.6021199899057548,92.198,4
Gob,Face the Ashes,2007,0.0,209.60608,0.0,2,-4.501,0.6045007385888197,129.738,4
Planet P Project,Pink World,1984,0.0,269.81832,0.0,4,-13.496,0.26586104921065007,86.643,4
JennyAnyKind,Young Boy Blues,0,0.0,218.77506,0.0,5,-10.021,0.0,146.765,1
Wayne Watson,The Urgency (LP Version),0,0.0,245.21098,0.0,7,-7.545,0.26586104921065007,117.975,4
Andy Andy,La Culpa,0,0.0,226.35057,0.0,9,-6.632,0.0,130.04,4
Bob Azzam,Auguri Cha Cha,0,0.0,191.84281,0.0,10,-7.75,0.0,137.334,1
Blue Rodeo,Floating,1987,0.0,491.12771,0.0,7,-8.576,0.4051157216913865,119.826,4
Richard Souther,High Tide,0,0.0,228.5971,0.0,8,-16.11,0.3347065490692206,127.756,5
Tesla,Caught In A Dream,2004,0.0,290.29832,0.0,7,-5.271,0.6841361912294903,150.062,4
lextrical,Synthetic Dream,0,0.0,165.69424,0.0,7,-6.787,0.0,138.331,4
Alice Stuart,Kassie Jones,0,0.0,220.78649,0.0,11,-8.514,0.0,110.382,1
Elena,Setanta matins,0,0.0,269.58322,0.0,2,-8.05,0.3135621142479342,111.874,4
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,2004,0.0,207.77751,0.0,7,-4.264,0.6665278462297023,166.862,4
SUE THOMPSON,James (Hold The Ladder Steady),1985,0.0,124.86485,0.0,10,-12.332,0.4952936212921635,137.522,4
Five Bolt Main,Made Like This (Live),0,0.0,225.09669,0.0,7,-5.908,0.37598430150044215,164.672,1
Faye Adams,Crazy Mixed Up World,1961,0.0,156.39465,0.0,8,-18.051,0.0,95.957,3
Terry Callier,Do You Finally Need A Friend,1972,0.0,342.56934,0.0,6,-11.939,0.4137398358601097,110.189,3
John Wesley,The Emperor Falls,0,0.0,484.62322,0.0,4,-15.335,0.3775316449767025,138.007,4
The Shangri-Las,Twist and Shout,1964,0.0,164.80608,0.0,10,-10.922,0.4432913119053975,130.1,1
Billie Jo Spears,It Makes No Difference Now,1992,0.0,133.32853,0.0,4,-9.983,0.0,160.839,1
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",0,0.0,450.84689,0.0,4,-9.063,0.593943075901947,130.586,4
Javier Navarrete,Midnight Swim,0,0.0,128.83546,0.0,3,-17.699,0.3943948561005826,90.932,3
Jacob Young,In A Subtle Way,0,0.0,456.30649,0.0,1,-19.478,0.0,89.667,4
Scarlet's Remains,Spin,2007,0.0,198.73914,0.0,7,-7.469,0.450992311636255,115.061,4
The Suicide Machines,Burning In The Aftermath,2003,0.0,95.68608,0.0,2,-2.022,0.5287824809425877,115.887,4
The Rolling Stones,Angie (1993 Digital Remaster),0,0.0,271.49016,0.0,9,-10.358,0.8344926198909054,139.333,1
Roberto Torres,Sabor Guajiro,0,0.0,226.66404,0.0,0,-12.716,0.0,117.271,4
Loudon Wainwright III,Human Cannonball,1995,0.0,190.48444,0.0,3,-15.663,0.5101193140330347,102.428,4
R.L. Burnside,Glory Be,2004,0.0,277.78567,0.0,2,-6.944,0.48213758506501503,89.984,4
Casiotone For The Painfully Alone,Nashville Parthenon,2006,0.0,175.72526,0.0,0,-10.93,0.7858922883883538,141.919,4
The New York Dolls,Human Being,1974,0.0,344.05832,0.0,11,-9.253,0.5616924111789523,154.953,1
Eliane Elias,The More I See You,2009,0.0,251.42812,0.0,7,-12.009,0.4348380902608562,86.091,5
Lost Boyz,Certain Things We Do,1997,0.0,269.7922,0.0,7,-11.043,0.4051157216913865,90.218,4
Chris Rea,Driving Home For Christmas,1986,0.0,241.162,0.0,9,-8.531,0.767727748373397,180.149,4
Perrey And Kingsley,Spooks In Space,1966,0.0,122.64444,0.0,0,-8.541,0.4348380902608562,102.538,4
Eurythmics,Tous Les Garçons Et Les Filles,1985,0.0,207.0722,0.0,0,-6.629,0.38293509007501925,84.164,4
Francis Dunnery,Too Much Saturn,1995,0.0,300.79955,0.0,7,-13.33,0.6104742577715245,124.175,4
John Cale,Movement 4 [from Kiss] (Album Version),1997,0.0,228.46649,0.0,7,-12.412,0.2265553139555314,137.004,1
Suzanne Ciani,Stream,0,0.0,239.59465,0.0,7,-21.552,0.4159831182884585,106.33,4
The Berzerker,Deform (live),2000,0.0,165.61587,0.0,1,-6.222,0.0,174.287,3
Kings Of Leon,Wicker Chair,2003,0.0,187.92444,0.0,0,-5.907,0.6859402266976852,116.823,4
Edith Lefel,An ti chans',0,0.0,276.50567,0.0,0,-4.638,0.0,101.972,4
NOFX,Stickin In My Eye,1992,0.0,144.50893,0.0,4,-7.787,0.6712360269845353,152.622,4
Soda Stereo,Entre Caníbales,1990,0.0,246.69995,0.0,7,-9.603,0.6261657596688281,112.903,4
Bruce Rowland,Rosemary Recalls,1985,0.0,84.03546,0.0,7,-26.266,0.0,115.642,4
Xcultures,Sudanese Dance,2000,0.0,273.52771,0.0,1,-6.305,0.1992382620006783,125.013,4
White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),0,0.0,298.84036,0.0,5,-9.998,0.26586104921065007,113.277,4
Heavy D / McGruff,Wanna Be A Player,1997,0.0,161.38404,0.0,5,-9.161,0.23773394162247466,96.979,4
Van Halen,Panama (Remastered Album Version),0,0.0,209.29261,0.0,8,-4.865,0.8244821296824321,140.995,1
Black Eyed Peas,Let's Get It Started,2004,0.0,229.61587,0.0,11,-4.882,0.6244254932707666,105.206,4
Nine Inch Nails,Metal,2000,0.0,426.89261,0.0,0,-12.951,0.6355366486226686,63.017,4
Nadine Renee,Next Time,0,0.0,249.41669,0.0,2,-6.693,0.19878534876524423,167.92,4
Smartbomb,Complicate It,2001,0.0,233.27302,0.0,0,-2.658,0.0,132.022,4
Suburbs,Monde De Fou,2005,0.0,187.24526,0.0,1,-4.42,0.24906579485370342,183.92,1
T.G. Sheppard,You Feel Good All Over,2002,0.0,194.11546,0.0,5,-15.581,0.3827232807891977,82.343,1
Queens Of The Stone Age,I Never Came,2005,0.0,288.41751,0.0,2,-8.165,0.7251212835673101,115.606,4
Inspiral Carpets,Commercial Reign,1990,0.0,283.76771,0.0,2,-8.7,0.6651722407621973,113.677,4
Borialis,Hourglass,0,0.0,239.3073,0.0,2,-5.758,0.5546547674656118,86.938,4
The Dirty Skirts,Wake,0,0.0,206.75873,0.0,0,-4.907,0.30416950343527516,141.936,4
Redman,WKYA (drop),2001,0.0,124.18567,0.0,1,-10.296,0.5701059300583878,85.008,5
Kai Winding,Mangos,1961,0.0,223.4771,0.0,0,-14.438,0.0,112.006,4
Sonny Simmons,A Distant Voice,0,0.0,443.24526,0.0,1,-13.002,0.2707759989463275,45.527,4
The Brooklyn Tabernacle Choir,Lead Me Lord,1995,0.0,324.44036,0.0,7,-11.829,0.4051157216913865,216.195,5
Ellen McIlwaine,Spontanous Combustion,0,0.0,275.12118,0.0,7,-6.29,0.24274187894946822,132.428,4
Vince Guaraldi / Bola Sete,Choro,0,0.0,294.66077,0.0,5,-15.761,0.3867901771390143,168.307,4
Carl Cox Vs Yousef,I Want You (Forever),1991,0.0,357.82485,0.0,1,-5.701,0.5112548351002428,130.016,5
Organized Konfusion,Hate,1997,0.0,198.3473,0.0,11,-8.709,0.46048484498641545,175.769,4
Martina McBride,I Can't Stop Loving You,2005,0.0,261.95546,0.0,7,-13.627,0.48828987603734525,100.194,3
Richard Burton,I See The Boys Of Summer,0,0.0,171.49342,0.0,2,-37.398,0.0,109.823,3
Rory Block,Three Is a Crowd,0,0.0,266.05669,0.0,1,-13.836,0.0,90.101,1
Boyz II Men,On Bended Knee,1994,0.0,329.27302,0.0,8,-7.103,0.34580223396532944,116.473,4
Howard Armstrong,My Four Reasons,0,0.0,198.922,0.0,9,-13.495,0.3335548072764493,126.821,4
Donny Hathaway,Little Girl (LP Version),1971,0.0,283.21914,0.0,2,-15.144,0.6173656175717818,111.191,3
Les Ogres De Barback,Niev nietch nievitch,1999,0.0,254.06649,0.0,4,-6.01,0.3943948561005826,137.888,1
Tony Joe White,I Want Love (Tween You & Me) (Album Version),0,0.0,162.53342,0.0,2,-17.285,0.3747968370214053,173.482,4
The Roches,Christlike Roche,1995,0.0,338.33751,0.0,2,-14.248,0.26586104921065007,130.027,4
Bob Margolin,You Rascal You,0,0.0,126.51057,0.0,11,-12.651,0.23379647424179947,110.168,4
Jupiter Rising,They Say (Album),2007,0.0,193.4624,0.0,0,-5.913,0.21508031850922793,119.979,4
The Verve Pipe,Medicate Myself,2001,0.0,292.8322,0.0,9,-4.953,0.46630483075728635,133.306,4
Bob Neuwirth,Biding Her Time,1990,0.0,241.10975,0.0,4,-18.114,0.48061061838775304,152.267,3
Marvin Sapp,More And More  (LP Version),0,0.0,270.68036,0.0,1,-11.061,0.2656833797102308,166.275,4
Maxi Priest,Groovin' In The Midnight,1991,0.0,301.81832,0.0,10,-8.095,0.34580223396532944,61.971,1
Porcupine Tree,Waiting,1997,0.0,416.80934,0.0,6,-7.982,0.8251735403780842,124.04,5
Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),0,0.0,413.36118,0.0,7,-8.804,0.0,191.196,4
Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),0,0.0,217.36444,0.0,10,-5.152,0.7373853102276186,100.023,4
Robben Ford,I Got Over It (Album Version),1988,0.0,203.98975,0.0,11,-11.976,0.47212111953959446,154.322,4
Brazilian Tropical Orchestra,One Less Bell To Answer,0,0.0,192.44363,0.0,5,-10.229,0.0,236.006,4
Gil Semedo,Festa,0,0.0,285.36118,0.0,11,-6.284,0.39200877147130697,150.666,5
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),0,0.0,204.06812,0.0,6,-5.157,0.2364201822307364,160.165,4
Perrey And Kingsley,Gossippo Perpetuo,2001,0.0,127.9473,0.0,0,-12.717,0.4444017145228514,135.78,4
Enthroned,The Vitalized Shell,2010,0.0,240.74404,0.0,2,-4.878,0.5430528641992896,135.535,7
Suzanne Ciani,Mozart,1989,0.0,192.20853,0.0,2,-23.988,0.6085000789194116,139.189,3
Johnny Osbourne,Lend Me Your Chopper,2004,0.0,215.30077,0.0,3,-9.741,0.0,163.445,4
Pearl Jam,Inside Job,2006,0.0,428.56444,0.0,4,-8.403,0.6593046691644056,105.994,3
Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,0.0,654.28853,0.0,7,-5.884,0.6266128026956008,118.433,4
Kiril Valeri,Bulgarian Dream,0,0.0,306.72934,0.0,11,-6.929,0.2707759989463275,96.007,4
Hank Locklin,We're Gonna Go Fishin',0,0.0,127.05914,0.0,2,-12.772,0.4944895175021134,148.357,4
BT,Robbers Kill Cop,0,0.0,44.35546,0.0,1,-18.147,0.30416950343527516,136.164,4
Descendents,Orgofart,1986,0.0,140.66893,0.0,6,-28.347,0.5194485814940588,89.495,4
Bare Jr.,Naked Albino,1998,0.0,254.79791,0.0,10,-7.309,0.0,107.529,3
Shelley Fabares,Johnny Loves Me (LP Version),0,0.0,143.0722,0.0,0,-15.351,0.0,99.408,4
Norrie Paramor,Dearly Beloved,0,0.0,163.49995,0.0,9,-25.694,0.0,79.731,4
Gary Hobbs,The Look Of Love,0,0.0,289.64526,0.0,0,-9.435,0.0,188.502,1
Diesel Boy,Cooler Than You,1998,0.0,124.15955,0.0,11,-4.793,0.40565219615969267,133.729,1
Angelo Badalamenti,Taryns Deepest Fear,0,0.0,167.3922,0.0,4,-17.623,0.4454545254934259,139.136,4
Susana Seivane,Para Milladoiro,2010,0.0,350.71955,0.0,10,-13.038,0.0,152.013,4
Test Icicles,Snowball,2005,0.0,190.24934,0.0,4,-4.172,0.5430528641992896,75.031,4
Mance Lipscomb,Going Down Slow,2000,0.0,187.53261,0.0,11,-23.527,0.3509795063714294,97.981,1
Flávio José,Jogo Limpo,0,0.0,252.02893,0.0,3,-8.639,0.0,168.323,4
Moss,Silent Hill,2009,0.0,329.35138,0.0,2,-7.672,0.5708506420788445,111.079,4
Pery Ribeiro,Our Love Is Here To Stay,0,0.0,180.00934,0.0,0,-13.668,0.0,133.009,4
Soular,Everything Changes,0,0.0,244.45342,0.0,6,-6.885,0.23584620327944406,146.577,5
Public Image Ltd,(This Is Not A) Love Song (Live),1983,0.0,388.28363,0.0,0,-16.433,0.263969820176701,132.506,4
Gary Moore,What Are We Here For,1997,0.0,345.93914,0.0,2,-6.951,0.4471357962861778,153.862,4
Pascal Sangla,Une petite pause,2010,0.0,243.1473,0.0,9,-14.737,0.0,93.238,4
The B-52's,Wig,1986,0.0,261.74649,0.0,0,-9.628,0.7140465527721864,124.086,4
Sex Pistols,God Save the Queen (Live),1988,0.0,216.60689,0.0,9,-3.736,0.4137398358601097,145.518,4
Deekline & Wizard,Sun Is Shining,2004,0.0,271.77751,0.0,0,-6.947,0.319565986882865,90.648,3
Hem,Have Yourself A Merry Little Christmas,2005,0.0,133.27628,0.0,5,-15.736,0.3603705827121406,89.86,1
Lily Allen,U Killed It,2006,0.0,264.69832,0.0,9,-5.871,0.5669884440404037,156.097,4
Jason Miles,Voices On The Corner,0,0.0,235.80689,0.0,10,-9.716,0.2538347361322313,101.03,4
Busdriver,(Bloody Paw On The) Kill Floor,2007,0.0,192.1824,0.0,6,-6.258,0.5194030457366698,155.038,4
Byther Smith,I Wish My Mother Was Here,1989,0.0,418.87302,0.0,1,-11.702,0.4373517613872757,117.168,3
Bebo & Cigala,Inolvidable,2003,0.0,198.26893,0.0,2,-14.509,0.6765489056009939,132.967,1
Bongzilla,Witch Weed (Live),1999,0.0,397.26975,0.0,9,-6.788,0.46054128135865785,95.882,4
The Gone Jackals,Not Buried Deep Enough,1995,0.0,229.79873,0.0,4,-12.772,0.4952936212921635,135.175,3
Boogie Pimps,Get Back Down,0,0.0,415.03302,0.0,1,-6.751,0.0,83.326,3
Gloriana,Pulecenella 'e mò,0,0.0,179.06893,0.0,0,-17.522,0.0,161.054,4
Grant Geissman,Big Stax/High Volts (Album Version),0,0.0,320.60036,0.0,9,-9.993,0.0,128.219,4
20/20,It Goes On,0,0.0,302.36689,0.0,6,-12.99,0.0,101.229,4
Orbital,Illuminate,2001,0.0,327.8624,0.0,0,-6.531,0.6885218441194627,125.975,4
Bone Thugs-N-Harmony / Akon,Never Forget Me,2007,0.0,286.30159,0.0,1,-6.933,0.5578803889070679,154.09,4
N.W.A.,A B***** Is A B***** (Edited),1989,0.0,168.75057,0.0,9,-8.91,0.0,97.099,4
Rise Against,Amber Changing,2003,0.0,218.8273,0.0,4,-3.803,0.696469436584313,186.254,4
Ultraviolence,Murder Academy,1995,0.0,303.04608,0.0,1,-10.57,0.21508031850922793,210.47,4
James Horner,Atmosphere Station,1986,0.0,191.81669,0.0,9,-38.525,0.5452302938983613,90.084,1
Tantric,Walk Away,2009,0.0,177.24036,0.0,2,-1.843,0.4471357962861778,106.698,1
Mastodon,Shadows That Move,2001,0.0,233.58649,0.0,2,-3.937,0.7841946159560662,89.78,4
Xcultures,Smile,2000,0.0,38.3473,0.0,9,-16.006,0.21425344896156936,107.177,7
The Irish Tenors,Mountains Of Mourne,0,0.0,100.85832,0.0,10,-19.794,0.0,152.258,4
Blind Blake & The Royal Victoria Hotel Calypsos,Oh Look Misery,0,0.0,151.53587,0.0,7,-7.108,0.0,101.492,4
Extreme,Teacher's Pet,0,0.0,181.55057,0.0,1,-9.334,0.6217655825179751,120.097,4
Prozak,Go To Hell,0,0.0,173.24363,0.0,8,-6.021,0.6068163271702843,88.835,4
Jerry Butler,Moon River - Original,0,0.0,155.74159,0.0,2,-13.135,0.0,105.24,4
Placebo,English Summer Rain,2003,0.0,241.52771,0.0,10,-7.255,0.8737024949104306,108.264,4
Gertrudis,Intro,2009,0.0,106.52689,0.0,9,-12.385,0.3231121208952123,97.76,4
Warrior King,Empress So Divine,2002,0.0,224.28689,0.0,10,-4.779,0.5375039041917102,241.877,4
Soda Stereo,Terapia De Amor Intensiva,1988,0.0,340.29669,0.0,7,-11.356,0.5473248320344863,91.328,4
LORE,Haunting,0,0.0,216.55465,0.0,8,-8.147,0.4943573242520118,130.062,4
Soul Asylum,Lies Of Hate,1998,0.0,279.2224,0.0,11,-6.582,0.3603705827121406,68.734,4
Carl Doy with NZSO,The First Noel,0,0.0,158.56281,0.0,2,-16.527,0.0,94.658,3
Horace Andy,Musical Episode,2005,0.0,234.44853,0.0,10,-10.173,0.34580223396532944,102.055,1
Jimmy Wakely,Beautiful Brown eyes,2001,0.0,155.95057,0.0,2,-14.123,0.46264318259167037,109.065,1
The Nightraver & The Magican,Drop the Bass,0,0.0,233.53424,0.0,6,-5.483,0.0,184.981,4
Rah Digga (Featuring Outsidaz),The Last Word (Amended Version),2000,0.0,256.80934,0.0,7,-7.307,0.4051157216913865,201.802,3
Hank Locklin,Filipino Baby,0,0.0,159.03302,0.0,9,-9.668,0.0,165.668,3
Angelo Badalamenti,Jeffrey's Dark Side,1987,0.0,109.37424,0.0,6,-18.349,0.6153722556990726,61.883,1
Buzzhorn,Pinned To The Ground (album version),2002,0.0,239.98649,0.0,9,-5.627,0.1938578025491923,144.836,3
Silverstein,Always And Never (Album Version),2005,0.0,229.642,0.0,2,-1.998,0.6586239272874229,108.499,4
!!!,Myth Takes,2007,0.0,143.98649,0.0,11,-7.901,0.0,193.978,4
The Secret Life of Teenage Girls,Carpe PM,0,0.0,153.20771,0.0,0,-8.798,0.19473522935003107,88.935,4
The Notorious B.I.G.,Who Shot Ya (Amended Album Version),2007,0.0,316.65587,0.0,4,-5.934,0.2742817042441851,91.69,4
Led Zeppelin,Poor Tom (Album Version),1982,0.0,182.09914,0.0,1,-10.7,0.3127699195304257,210.8,7
